eventName,visitorType,visitCount,continent,country,visitIp
activity,new,1,Europa,Österreich,90.146.0.0
activity,new,1,Europa,Österreich,213.142.0.0
activity,new,1,Europa,Österreich,84.115.0.0
activity,new,1,Europa,Österreich,46.125.0.0
activity,new,1,Südamerika,Peru,200.215.0.0
activity,new,1,Europa,Österreich,185.51.0.0
activity,new,1,Europa,Österreich,213.162.0.0
activity,new,1,Europa,Belgien,104.28.0.0
activity,returning,2,Europa,Österreich,185.17.0.0
activity,new,1,Europa,Österreich,213.225.0.0
activity,new,1,Europa,Deutschland,46.83.0.0
activity,returning,2,Europa,Österreich,185.129.0.0
activity,new,1,Europa,Frankreich,86.247.0.0
activity,new,1,Europa,Österreich,212.241.0.0
activity,new,1,Europa,Österreich,80.121.0.0
activity,new,1,Europa,Österreich,5.104.0.0
activity,new,1,Europa,Deutschland,62.156.0.0
activity,new,1,Europa,Österreich,213.142.0.0
activity,new,1,Europa,Österreich,77.119.0.0
adventmarkt,new,1,Europa,Dänemark,62.242.0.0
adventmarkt,returning,2,Europa,Österreich,212.89.0.0
adventmarkt,returning,2,Europa,Österreich,89.144.0.0
adventmarkt,new,1,Europa,Österreich,81.10.0.0
adventmarkt,new,1,Europa,Deutschland,160.46.0.0
adventmarkt,new,1,Europa,Österreich,41.66.0.0
adventmarkt,new,1,Europa,Österreich,90.152.0.0
adventmarkt,new,1,Europa,Österreich,193.80.0.0
adventmarkt,new,1,Europa,Österreich,93.82.0.0
adventmarkt,returning,2,Europa,Österreich,46.125.0.0
adventmarkt,new,1,Europa,Österreich,89.144.0.0
adventmarkt,new,1,Europa,Österreich,45.155.0.0
adventmarkt,returning,2,Europa,Österreich,188.22.0.0
adventmarkt,new,1,Europa,Österreich,212.241.0.0
adventmarkt,new,1,Europa,Österreich,91.141.0.0
adventmarkt,new,1,Europa,Österreich,194.118.0.0
adventmarkt,returning,3,Europa,Österreich,81.223.0.0
adventmarkt,new,1,Europa,Österreich,213.142.0.0
adventmarkt,new,1,Europa,Österreich,213.142.0.0
adventmarkt,returning,2,Europa,Österreich,91.141.0.0
adventmarkt,new,1,Europa,Österreich,145.40.0.0
adventmarkt,new,1,Europa,Deutschland,82.119.0.0
adventmarkt,new,1,Europa,Österreich,194.118.0.0
adventmarkt,new,1,Europa,Österreich,178.115.0.0
adventmarkt,new,1,Europa,Österreich,90.146.0.0
adventmarkt,returning,2,Europa,Österreich,85.193.0.0
adventmarkt,new,1,Europa,Österreich,178.191.0.0
adventmarkt,new,1,Europa,Österreich,63.247.0.0
adventmarkt,new,1,Europa,Österreich,172.226.0.0
adventmarkt,new,1,Europa,Österreich,85.193.0.0
adventmarkt,new,1,Europa,Österreich,193.80.0.0
adventmarkt,new,1,Europa,Österreich,193.81.0.0
adventmarkt,new,1,Europa,Österreich,85.193.0.0
adventmarkt,new,1,Europa,Österreich,178.115.0.0
adventmarkt,new,1,Europa,Österreich,62.47.0.0
adventmarkt,new,1,Europa,Vereinigtes Königreich,84.67.0.0
adventmarkt,new,1,Europa,Österreich,213.162.0.0
adventmarkt,returning,5,Europa,Österreich,217.149.0.0
adventmarkt,new,1,Europa,Österreich,185.51.0.0
adventmarkt,new,1,Europa,Österreich,41.66.0.0
adventmarkt,new,1,Europa,Österreich,77.116.0.0
adventmarkt,new,1,Europa,Österreich,188.23.0.0
adventmarkt,new,1,Europa,Deutschland,82.119.0.0
adventmarkt,new,1,Europa,Österreich,193.80.0.0
baden,new,1,Europa,Österreich,213.225.0.0
bike,new,1,Europa,Österreich,185.113.0.0
bike,new,1,Europa,Österreich,213.162.0.0
bike,returning,2,Europa,Österreich,213.162.0.0
bike,new,1,Europa,Belgien,34.22.0.0
bike,new,1,Europa,Österreich,185.118.0.0
bike,new,1,Europa,Österreich,81.10.0.0
bike,new,1,Europa,Tschechien,212.20.0.0
bike,returning,2,Europa,Österreich,46.125.0.0
bike,returning,77,Europa,Luxemburg,172.225.0.0
bike,new,1,Europa,Belgien,34.77.0.0
familie,new,1,Europa,Österreich,77.119.0.0
familie,new,1,Europa,Österreich,83.65.0.0
familie,new,1,Europa,Österreich,83.65.0.0
familie,new,1,Europa,Österreich,212.95.0.0
familie,new,1,Europa,Österreich,83.65.0.0
familie,new,1,Europa,Österreich,41.66.0.0
familie,new,1,Europa,Österreich,195.192.0.0
familie,returning,4,Europa,Österreich,212.95.0.0
familie,new,1,Europa,Österreich,86.56.0.0
familie,new,1,Europa,Österreich,217.149.0.0
familie,new,1,Europa,Österreich,90.146.0.0
hike,returning,5,Europa,Österreich,213.142.0.0
hike,new,1,Europa,Deutschland,87.168.0.0
hike,new,1,Europa,Österreich,178.114.0.0
hike,new,1,Europa,Österreich,89.144.0.0
hike,new,1,Europa,Österreich,193.80.0.0
hike,new,1,Europa,Österreich,77.119.0.0
hike,new,1,Europa,Österreich,194.166.0.0
hike,new,1,Europa,Österreich,212.95.0.0
hike,new,1,Europa,Österreich,212.95.0.0
hike,new,1,Europa,Österreich,217.149.0.0
hike,new,1,Europa,Österreich,77.119.0.0
hike,returning,3,Europa,Österreich,46.125.0.0
hike,returning,2,Europa,Österreich,91.112.0.0
hike,new,1,Europa,Österreich,212.241.0.0
hike,new,1,Europa,Deutschland,45.93.0.0
hike,new,1,Europa,Österreich,91.141.0.0
hike,new,1,Europa,Österreich,193.154.0.0
hike,returning,2,Europa,Österreich,145.40.0.0
hike,new,1,Europa,Österreich,178.115.0.0
hike,new,1,Europa,Österreich,91.141.0.0
hike,new,1,Europa,Österreich,41.66.0.0
hike,new,1,Europa,Österreich,78.132.0.0
hike,returning,2,Europa,Österreich,212.95.0.0
hike,returning,4,Europa,Österreich,81.10.0.0
hike,new,1,Europa,Österreich,90.146.0.0
hike,returning,57,Europa,Österreich,212.241.0.0
hike,new,1,Europa,Österreich,90.146.0.0
hike,new,1,Europa,Deutschland,93.238.0.0
hike,new,1,Europa,Österreich,89.144.0.0
hike,new,1,Europa,Österreich,90.146.0.0
hike,new,1,Europa,Deutschland,185.39.0.0
hike,returning,2,Europa,Österreich,193.81.0.0
hike,new,1,Europa,Österreich,193.81.0.0
hike,returning,4,Europa,Österreich,81.10.0.0
hike,returning,2,Europa,Österreich,80.121.0.0
hike,new,1,Europa,Deutschland,94.31.0.0
hike,returning,2,Europa,Österreich,91.141.0.0
horse riding,new,1,Europa,Österreich,91.141.0.0
horse riding,returning,2,Europa,Österreich,213.142.0.0
horse riding,returning,2,Europa,Österreich,193.81.0.0
hospital,new,1,Europa,Österreich,178.115.0.0
hospital,new,1,Europa,Österreich,62.47.0.0
hospital,new,1,Europa,Österreich,185.17.0.0
hospital,new,1,Europa,Österreich,194.118.0.0
hospital,new,1,Europa,Österreich,91.141.0.0
hospital,new,1,Europa,Österreich,84.115.0.0
hospital,new,1,Europa,Österreich,162.213.0.0
hotel,new,1,Europa,Österreich,89.144.0.0
hotel,returning,4,Europa,Albanien,104.28.0.0
hotel,new,1,Europa,Deutschland,80.137.0.0
hotel,new,1,Europa,Österreich,194.96.0.0
hotel,new,1,Europa,Deutschland,95.90.0.0
hotel,new,1,Europa,Österreich,46.125.0.0
hotel,new,1,Europa,Österreich,194.96.0.0
hotel,returning,7,Europa,Österreich,213.142.0.0
hotel,returning,2,Europa,Österreich,172.225.0.0
hotel,new,1,Europa,Österreich,213.142.0.0
hotel,new,1,Europa,Österreich,213.147.0.0
hotel,returning,2,Europa,Österreich,176.66.0.0
hotel,new,1,Europa,Österreich,212.95.0.0
museum,new,1,Europa,Österreich,213.225.0.0
museum,new,1,Europa,Deutschland,217.236.0.0
museum,new,1,Europa,Deutschland,79.200.0.0
museum,new,1,Europa,Deutschland,87.172.0.0
museum,new,1,Europa,Österreich,62.47.0.0
museum,new,1,Europa,Österreich,193.80.0.0
museum,returning,2,Europa,Albanien,172.225.0.0
museum,returning,6,Europa,Österreich,80.121.0.0
museum,new,1,Europa,Österreich,178.189.0.0
museum,new,1,Europa,Österreich,46.125.0.0
museum,new,1,Europa,Österreich,213.225.0.0
museum,new,1,Europa,Österreich,89.144.0.0
museum,new,1,Europa,Österreich,84.115.0.0
museum,new,1,Europa,Türkei,172.225.0.0
museum,returning,2,Asien,Vereinigte Arabische Emirate,94.201.0.0
museum,new,1,Europa,Österreich,83.164.0.0
museum,new,1,Europa,Österreich,91.141.0.0
museum,new,1,Europa,Bosnien und Herzegowina,31.223.0.0
museum,new,1,Europa,Österreich,41.66.0.0
museum,new,1,Europa,Österreich,185.51.0.0
museum,new,1,Europa,Österreich,85.193.0.0
parking,returning,2,Europa,Österreich,213.142.0.0
parking,new,1,Europa,Frankreich,91.161.0.0
parking,new,1,Europa,Österreich,89.144.0.0
restaurant,new,1,Europa,Österreich,217.149.0.0
restaurant,new,1,Afrika,Nigeria,102.90.0.0
restaurant,new,1,Europa,Österreich,212.241.0.0
restaurant,new,1,Europa,Österreich,86.56.0.0
restaurant,new,1,Europa,Österreich,213.142.0.0
restaurant,new,1,Europa,Deutschland,109.43.0.0
restaurant,new,1,Europa,Österreich,213.162.0.0
restaurant,new,1,Europa,Österreich,178.191.0.0
restaurant,returning,2,Europa,Österreich,217.149.0.0
restaurant,new,1,Europa,Österreich,86.56.0.0
restaurant,returning,2,Europa,Österreich,178.189.0.0
restaurant,new,1,Europa,Österreich,213.142.0.0
restaurant,new,1,Europa,Österreich,91.141.0.0
restaurant,returning,3,Europa,Österreich,86.56.0.0
restaurant,new,1,Europa,Österreich,83.215.0.0
restaurant,new,1,Europa,Österreich,139.178.0.0
restaurant,new,1,Europa,Deutschland,185.39.0.0
restaurant,new,1,Europa,Österreich,89.144.0.0
restaurant,new,1,Europa,Österreich,212.95.0.0
restaurant,returning,2,Europa,Österreich,89.144.0.0
restaurant,new,1,Europa,Deutschland,80.187.0.0
restaurant,new,1,Europa,Österreich,80.121.0.0
restaurant,new,1,Europa,Österreich,46.125.0.0
restaurant,new,1,Europa,Österreich,81.16.0.0
restaurant,new,1,Europa,Österreich,193.154.0.0
restaurant,returning,20,Europa,Österreich,178.165.0.0
restaurant,returning,7,Europa,Österreich,46.125.0.0
restaurant,new,1,Europa,Österreich,77.242.0.0
restaurant,new,1,Europa,Deutschland,185.68.0.0
restaurant,new,1,Europa,Deutschland,193.148.0.0
restaurant,new,1,Europa,Österreich,185.71.0.0
restaurant,new,1,Europa,Österreich,46.125.0.0
restaurant,new,1,Europa,Österreich,86.56.0.0
restaurant,new,1,Europa,Österreich,41.66.0.0
restaurant,new,1,Europa,Ungarn,31.46.0.0
restaurant,new,1,Europa,Österreich,213.225.0.0
restaurant,new,1,Europa,Österreich,85.193.0.0
restaurant,new,1,Europa,Österreich,83.215.0.0
restaurant,returning,2,Europa,Österreich,212.95.0.0
restaurant,returning,2,Europa,Österreich,178.115.0.0
restaurant,new,1,Europa,Österreich,41.66.0.0
restaurant,new,1,Europa,Österreich,89.144.0.0
restaurant,returning,2,Europa,Albanien,104.28.0.0
restaurant,returning,2,Europa,Österreich,213.142.0.0
restaurant,returning,2,Europa,Österreich,217.149.0.0
restaurant,new,1,Europa,Deutschland,109.43.0.0
restaurant,new,1,Europa,Albanien,172.225.0.0
restaurant,new,1,Europa,Österreich,81.10.0.0
sehenswuerdigkeiten,returning,2,Europa,Österreich,213.142.0.0
sehenswuerdigkeiten,new,1,Europa,Österreich,146.70.0.0
sehenswuerdigkeiten,returning,2,Europa,Österreich,81.10.0.0
sehenswuerdigkeiten,new,1,Europa,Österreich,81.10.0.0
sehenswuerdigkeiten,new,1,Europa,Österreich,46.125.0.0
sehenswuerdigkeiten,new,1,Europa,Deutschland,87.168.0.0
sehenswuerdigkeiten,new,1,Europa,Österreich,90.146.0.0
sehenswuerdigkeiten,new,1,Europa,Österreich,185.64.0.0
sehenswuerdigkeiten,new,1,Europa,Österreich,146.70.0.0
sehenswuerdigkeiten,new,1,Europa,Österreich,83.164.0.0
shopping,new,1,Europa,Österreich,212.88.0.0
shopping,new,1,Europa,Österreich,213.225.0.0
shopping,new,1,Europa,Österreich,80.121.0.0
shopping,new,1,Europa,Deutschland,79.242.0.0
shopping,returning,2,Europa,Österreich,193.80.0.0
shopping,new,1,Europa,Österreich,77.119.0.0
shopping,new,1,Europa,Österreich,89.144.0.0
shopping,new,1,Europa,Österreich,85.193.0.0
shopping,new,1,Europa,Österreich,91.114.0.0
shopping,new,1,Europa,Österreich,172.225.0.0
swimming,new,1,Europa,Österreich,212.241.0.0
swimming,returning,2,Europa,Österreich,188.23.0.0
swimming,new,1,Europa,Österreich,91.133.0.0
swimming,new,1,Europa,Österreich,91.141.0.0
swimming,new,1,Europa,Österreich,213.142.0.0
trip,new,1,Europa,Österreich,178.114.0.0
trip,new,1,Europa,Österreich,212.95.0.0
trip,new,1,Europa,Österreich,84.115.0.0
wellness,new,1,Europa,Österreich,178.165.0.0
zoo,new,1,Europa,Deutschland,79.220.0.0
horse riding,new,1,Südamerika,Peru,200.215.0.0
wellness,new,1,Südamerika,Peru,200.215.0.0
hospital,new,1,Südamerika,Peru,200.215.0.0
shopping,new,1,Europa,Dänemark,62.242.0.0
hike,new,1,Europa,Dänemark,62.242.0.0
hike,new,1,Europa,Dänemark,62.242.0.0
hotel,new,1,Europa,Vereinigtes Königreich,84.67.0.0
hike,new,1,Europa,Vereinigtes Königreich,84.67.0.0
restaurant,new,1,Europa,Vereinigtes Königreich,84.67.0.0
bike,new,1,Europa,Tschechien,212.20.0.0
restaurant,new,1,Europa,Tschechien,212.20.0.0
adventmarkt,new,1,Europa,Tschechien,212.20.0.0
hike,returning,77,Europa,Luxemburg,172.225.0.0
parking,returning,77,Europa,Luxemburg,172.225.0.0
hotel,returning,77,Europa,Luxemburg,172.225.0.0
wellness,new,1,Europa,Türkei,172.225.0.0
activity,new,1,Europa,Türkei,172.225.0.0
swimming,new,1,Europa,Türkei,172.225.0.0
sehenswuerdigkeiten,returning,2,Asien,Vereinigte Arabische Emirate,94.201.0.0
parking,returning,2,Asien,Vereinigte Arabische Emirate,94.201.0.0
zoo,returning,2,Asien,Vereinigte Arabische Emirate,94.201.0.0
baden,new,1,Europa,Bosnien und Herzegowina,31.223.0.0
shopping,new,1,Europa,Bosnien und Herzegowina,31.223.0.0
activity,new,1,Europa,Bosnien und Herzegowina,31.223.0.0
activity,new,1,Afrika,Nigeria,102.90.0.0
swimming,new,1,Afrika,Nigeria,102.90.0.0
baden,new,1,Afrika,Nigeria,102.90.0.0
sehenswuerdigkeiten,new,1,Europa,Ungarn,31.46.0.0
bike,new,1,Europa,Ungarn,31.46.0.0
shopping,new,1,Europa,Ungarn,31.46.0.0
